percent,Physical by Olivia Newton-John,Let Love Rule by Lenny Kravitz,On And On And On by ABBA,I Need Love by LL Cool J,Straight Outta Compton by N.W.A,You Be Illin' by Run-D.M.C.,I Hate Myself For Loving You by Joan Jett & the Blackhearts,U Got The Look by Prince,Eye Of The Tiger by Survivor,All I Want For Christmas Is You by Mariah Carey,Ironic by Alanis Morissette,Walking On Broken Glass by Annie Lennox,Gettin' Jiggy Wit It by Will Smith,Loungin by LL Cool J,I Get Around by 2Pac,Always by Bon Jovi,With Arms Wide Open by Creed,Change The World by Eric Clapton,Viva La Vida by Coldplay,Love Story by Taylor Swift,Hot N Cold by Katy Perry,Heartless by Kanye West,Just A Lil Bit by 50 Cent,Dirt Off Your Shoulder by JAY-Z,Someday by Nickelback,Beverly Hills by Weezer,Nobody Does It Better by Carly Simon,Rolling In The Deep by Adele,Lights by Ellie Goulding,"Hey, Soul Sister by Train",Better Now by Post Malone,Super Bass by Nicki Minaj,God's Plan by Drake,If I Die Young by The Band Perry,Radioactive by Imagine Dragons,Love Remains The Same by Gavin Rossdale,Don't Start Now by Dua Lipa,Without Me by Halsey,Heat Waves by Glass Animals,"I Like It by Cardi B, Bad Bunny & J Balvin",Savage by Megan Thee Stallion,Yonaguni by Bad Bunny,Drunk (And I Don't Wanna Go Home) by Elle King & Miranda Lambert,I Love My Country by Florida Georgia Line,Shy Away by twenty one pilots
0,0.846814726,0.847034791,-0.845081631,0.841192178,-0.69019974,0.841670482,0.844996443,0.846385505,0.845043153,-0.815143686,-0.843584709,-0.841399416,0.697176659,-0.787477282,-0.84122601,-0.832339561,0.843615714,0.846738274,-0.830205774,0.846907186,-0.842247406,-0.837446539,0.845986632,-0.676973406,-0.846892946,-0.846981769,-0.846479277,0.846209272,0.481552203,-0.700292706,-0.83814622,-0.821396483,0.773177996,0.846331675,-0.825056581,0.443300491,0.84656497,0.845716222,0.809450341,0.835107635,-0.845892405,-0.822438128,-0.832086118,0.760235959,-0.844290652
0.1,-0.823992516,0.887592791,-0.946694969,0.718996628,-0.459227926,0.708101619,0.850629582,0.486658577,0.943123643,-0.608986982,-0.647522792,-0.729602353,-0.773232362,-0.781369998,-0.807808636,0.964627402,0.683352047,0.5756605,-0.589674693,0.848659404,-0.891526788,0.777349792,0.935438136,0.922094027,-0.721534294,-0.945147923,0.7448623,0.811933583,-0.476890611,0.603645276,-0.567156274,0.410871741,0.525805742,0.772324447,0.709143832,-0.826818312,-0.969281876,0.48485091,0.450064626,-0.623754943,-0.838664449,-0.512273055,-0.631654263,0.81064941,0.716184277
0.2,-0.462317173,0.958800334,-0.453139065,0.884200603,-0.963906985,-0.6185316,0.754940312,0.767674366,0.683304138,-0.761798431,-0.894543803,-0.931008224,-0.892933301,0.738044831,0.451498215,0.570474447,0.525867855,0.74370996,0.962572886,0.44806106,0.908557968,-0.579154367,-0.716676054,0.599506045,0.54086723,-0.331953144,0.977477342,0.903044916,0.962965046,0.577377587,0.732621175,0.918926217,0.759257057,0.611457477,0.948368819,0.905226253,-0.748845761,0.438878009,0.856501747,-0.807444217,-0.717650383,-0.668197285,-0.82386156,0.791020983,0.501440029
0.3,0.805351175,0.720922762,-0.86804901,0.585751989,-0.786452406,-0.930266732,0.785460181,0.80572707,0.893564992,0.759582928,0.431146857,-0.769952299,0.951630382,0.616942164,-0.634441338,0.687654001,0.548084837,0.695881966,-0.892896241,0.740608875,-0.740452471,-0.569440276,-0.652723205,-0.675416654,-0.741834792,0.657382283,0.450620386,0.665734419,0.932110374,0.51140379,-0.451236242,-0.906679529,-0.933553194,0.516391343,0.758910456,-0.837825689,-0.877678885,-0.826373037,0.44317288,0.335685533,-0.510462959,-0.442754475,-0.479822697,0.860546682,-0.637411984
0.4,0.844863839,-0.44506034,0.913971414,0.760610299,-0.678585323,-0.898991189,-0.800176037,0.435315796,0.525555882,-0.939339875,0.915051817,-0.719416929,0.547411746,0.977662782,-0.939328973,0.738393461,0.771726008,0.952444156,-0.713016628,-0.709058547,-0.712682256,-0.493323267,-0.505781054,-0.73061383,0.91902881,0.665976564,-0.95922213,0.877584655,0.792596326,0.819792532,-0.476821219,-0.947667646,-0.939510374,0.640032018,0.70557312,-0.768533406,-0.589586137,-0.756241873,-0.928097537,-0.904875492,-0.602142292,-0.567706723,-0.722085355,0.525599754,0.843890558
0.5,0.834200362,0.818664025,0.651420535,0.964686834,-0.903581028,-0.943820144,-0.548134613,0.838224632,0.917394708,0.687791037,0.556709677,0.867479183,-0.702417963,0.569227939,-0.699785304,0.657223694,0.719604859,-0.748549178,-0.452674685,0.758469317,-0.513497523,-0.828555912,-0.845180004,-0.884246182,0.284669211,0.898733873,0.560391739,-0.566524846,-0.479001876,0.759600443,-0.870007937,0.715741065,-0.600898031,0.967166185,0.932798345,0.43903113,-0.797230054,0.857505247,-0.838607778,0.437277206,-0.513761899,-0.819169775,-0.793992518,0.941923931,0.739903466
0.6,-0.740375023,0.884507381,-0.783910063,0.789450964,-0.893484663,-0.566092823,0.974707942,0.638865587,0.546983602,0.912435925,-0.738467131,-0.482162109,0.725587664,0.813408128,0.934331636,0.454572392,0.934832219,0.763092851,-0.840269224,0.454781284,-0.513257989,-0.732191313,-0.593462967,0.341753541,-0.662452598,0.876087154,0.923033551,0.930619492,0.74022639,-0.727659267,-0.787239154,-0.638895872,-0.575177387,0.813735472,0.444354293,0.622179527,-0.854088841,0.631342938,0.915275862,0.900706956,-0.862870622,-0.89702544,0.61404179,0.651249706,-0.792188672
0.7,-0.498761257,0.488379983,-0.809064174,0.806049476,-0.255978947,-0.833380532,0.635420495,0.643390799,0.965037741,0.571260368,-0.900959822,0.558784695,0.904499881,0.499584975,0.722306461,-0.868772313,0.792869429,0.920370277,0.501483459,-0.677130082,0.561277513,-0.598606029,-0.940608231,0.720668508,0.732850658,-0.441369554,-0.535024723,0.82815661,0.817350425,-0.842149507,0.762176607,-0.951686776,-0.511209078,-0.629396491,0.7927069,-0.676361986,-0.776210046,-0.714000205,0.965618395,-0.743331753,-0.783981425,-0.576493827,-0.674497576,-0.593783863,0.963497625
0.8,-0.826790737,0.966970337,-0.648995187,0.894782527,-0.513040499,-0.914126281,0.482652717,0.957047953,0.771199669,0.748386691,-0.715657856,0.495723198,-0.923151096,0.951972707,-0.78977535,0.51482878,0.93990466,0.71116199,-0.647000279,0.767493256,0.54680679,-0.743068742,-0.851651043,0.462814151,0.571331818,0.517872861,-0.859987381,-0.687790392,0.51055231,0.536040055,0.788645661,-0.831488408,-0.648186376,0.795855864,0.968861659,-0.75506374,-0.933049618,-0.933451262,-0.592947538,0.772703474,-0.762019085,-0.838236277,-0.826910906,0.460242431,0.882736042
0.9,0.587287075,0.618037132,-0.783618485,0.813024451,-0.975284297,-0.687127178,-0.857209895,0.573430436,0.742750113,0.615489203,0.454609359,-0.515258835,-0.87800286,0.494615875,-0.740119826,0.768865605,0.667993436,0.993056945,-0.908530486,0.781168943,0.616485375,-0.831217279,-0.816268185,0.792037734,-0.802583308,0.699765139,0.910583189,-0.553745088,0.769844614,0.985996803,-0.795999294,-0.855199595,-0.934105465,0.841119141,-0.567123293,0.410339773,-0.822120222,0.445779553,-0.67420583,0.857592029,-0.889308094,-0.978489701,-0.810339314,0.439136072,0.785624499